Name,Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Carbon Storage (kg)
Robinia pseudoacacia,14,4.2,10,78.5,269.8,629.1
Robinia pseudoacacia,14,4.2,12,113.1,284.4,409.9
Celtis australis,4.5,1.3,5,19.6,36.2,26.3
Celtis australis,5,1.5,5,19.6,31.7,21.7
Celtis australis,4.5,1.3,5,19.6,34.9,21.7
Celtis australis,4.5,1.3,5,19.6,33.3,17.5
Sorbus,1,0.3,1,0.8,0.8,5.7
Robinia pseudoacacia,15,4.5,9,63.6,160.5,86.3
Acer platanoides,12,3.6,5,19.6,61.5,92.40000000000001
Acer platanoides,5,1.5,3,7.1,10.6,26.2
Acer platanoides,12,3.6,10,78.5,236.9,186.9
Picea abies,12,3.6,8,50.3,195.1,268.4
Acer platanoides,12,3.6,8,50.3,167.6,239
Quercus robur,12,3.6,12,113.1,315.8,319.9
Pinus nigra,13,3.9,8,50.3,213.2,234.7
Pyrus calleryana,6,1.8,4,12.6,19.3,59.2
Pyrus calleryana,5,1.5,3,7.1,10.4,50.6
Pyrus calleryana,5,1.5,3,7.1,11.2,50.6
Pyrus calleryana,5,1.5,3,7.1,12.5,29.3
Liriodendron tulipifera,7,2.1,4,12.6,27.1,51.7
Liriodendron tulipifera,7,2.1,4,12.6,20.4,44.7
Liriodendron tulipifera,7,2.1,4,12.6,27.6,59.3
Liriodendron tulipifera,7,2.1,4,12.6,24.4,59.3
Liriodendron tulipifera,7,2.1,4,12.6,22.8,59.3
Acer campestre,11,3.3,8,50.3,115.4,90.3
Liriodendron tulipifera,5,1.5,3,7.1,12.8,27.1
Pinus nigra,15,4.5,9,63.6,256.4,271
Liriodendron tulipifera,12,3.6,4,12.6,38.7,76.5
Acer,8,2.4,6,28.3,61.8,93.90000000000001
Juglans,12,3.6,8,50.3,152.1,137
Acacia,14,4.2,10,78.5,350.1,160.3
Crataegus,3,0.9,3,7.1,8.5,12.6
Crataegus,3,0.9,3,7.1,11,12.6
Crataegus,3,0.9,3,7.1,11.5,16.3
Crataegus,3,0.9,3,7.1,11.5,16.3
Crataegus,3.5,1,3,7.1,9.300000000000001,16.3
Crataegus,3.5,1,3,7.1,7.2,16.3
Crataegus,3,0.9,2,3.1,3.8,12.6
Crataegus,3,0.9,2,3.1,5.1,16.3
Crataegus,3,0.9,1.5,1.8,3.1,9.4
Crataegus,3,0.9,1.5,1.8,2.7,9.4
Crataegus,3,0.9,2,3.1,4.7,9.4
Crataegus,3,0.9,1.5,1.8,3.1,9.4
Crataegus,3,0.9,1.5,1.8,2.6,9.4
Crataegus,3,0.9,1.5,1.8,3.1,9.4
Crataegus,3,0.9,1.5,1.8,2.9,9.4
Crataegus,3,0.9,1.5,1.8,3.1,9.4
Crataegus,3,0.9,1.5,1.8,3.1,9.4
Koelreuteria paniculata,5,1.5,5,19.6,30.6,86.7
Koelreuteria paniculata,4,1.2,4,12.6,22.1,64.09999999999999
Celtis australis,4,1.2,4,12.6,19.8,17.5
Celtis australis,4,1.2,4,12.6,14.9,15.6
Celtis australis,4,1.2,4,12.6,14.9,15.6
Celtis australis,4,1.2,4,12.6,19.3,15.6
Celtis australis,4,1.2,4,12.6,19.3,15.6
Celtis australis,4,1.2,4,12.6,14.5,13.7
Pinus,15,4.5,12,113.1,417,855.8
Tilia cordata,8,2.4,6,28.3,65,39
Tilia cordata,8,2.4,6,28.3,60.8,39
Tilia cordata,10,3,8,50.3,154.2,118.3
Abies nordmanniana,8,2.4,6,28.3,76,509.1
Celtis australis,9,2.7,14,153.9,400.9,86.09999999999999
Celtis australis,8,2.4,12,113.1,309,64.09999999999999
Celtis australis,8,2.4,12,113.1,309,64.09999999999999
Prunus cerasifera,10,3,8,50.3,157.4,361.2
Cupressus,10,3,1,0.8,4.5,185.8
Cupressus,14,4.2,2,3.1,16.6,829.6
Cupressus,14,4.2,2,3.1,15.8,1390
Sorbus,4,1.2,1,0.8,2.1,18.1
Sorbus aucuparia,4,1.2,1,0.8,2.2,11.4
Platanus x hispanica,15,4.5,9,63.6,285.4,593
Corylus colurna,8,2.4,7,38.5,109.4,186
Corylus colurna,11,3.3,10,78.5,262.5,354.3
Prunus serrulata,4,1.2,4,12.6,11.4,48
Prunus serrulata,3.5,1,2.5,4.9,3.9,25.3
Prunus serrulata,4,1.2,3,7.1,7.3,92.2
Prunus serrulata,5,1.5,4,12.6,11,154.3
Pyrus calleryana,6,1.8,3,7.1,11.1,29.3
Pyrus calleryana,6.5,1.9,4,12.6,22.9,59.2
Pyrus calleryana,5,1.5,2.5,4.9,7.5,14.5
Pyrus calleryana,7,2.1,4,12.6,21,42.7
Pyrus calleryana,6,1.8,3,7.1,13,35.6
Pyrus calleryana,6.5,1.9,4,12.6,25.3,50.6
Pyrus calleryana,7,2.1,4,12.6,26.7,59.2
Pyrus calleryana,6.5,1.9,4,12.6,22,29.3
Pyrus calleryana,6.5,1.9,4,12.6,18,29.3
Pyrus calleryana,6.5,1.9,4,12.6,19,42.7
Pyrus calleryana,6.5,1.9,4,12.6,19,42.7
Pyrus calleryana,6.5,1.9,4,12.6,18,29.3
Pyrus calleryana,7,2.1,4,12.6,24.1,68.7
Pyrus calleryana,6,1.8,3,7.1,14,59.2
Pyrus calleryana,4,1.2,1.5,1.8,4.1,14.5
Pyrus calleryana,5,1.5,4,12.6,22,35.6
Pyrus calleryana,6,1.8,4,12.6,23.3,35.6
Pyrus calleryana,7,2.1,4,12.6,26.7,59.2
Pyrus calleryana,7,2.1,4,12.6,23.6,59.2
Pyrus calleryana,4.5,1.3,2,3.1,5.6,29.3
Pyrus calleryana,5,1.5,4,12.6,20.1,29.3
Pyrus calleryana,7,2.1,4,12.6,28.3,90.2
Pyrus calleryana,4,1.2,2,3.1,5.2,14.5
Pyrus calleryana,3.5,1,1.5,1.8,4,10.9
Pyrus calleryana,7,2.1,4,12.6,27.8,79
Pyrus calleryana,6,1.8,3,7.1,11.4,35.6
Tilia cordata,7,2.1,6,28.3,61.9,60
Tilia cordata,7,2.1,6,28.3,74.8,60
Tilia cordata,7,2.1,6,28.3,74.8,60
Tilia cordata,7,2.1,6,28.3,70.5,60
Tilia cordata,7,2.1,6,28.3,66.2,60
Tilia cordata,6,1.8,5,19.6,40.9,39
Tilia cordata,6,1.8,5,19.6,43.4,39
Tilia cordata,6,1.8,4,12.6,25.3,39
Tilia cordata,6,1.8,5,19.6,38.4,39
Tilia cordata,7,2.1,6,28.3,63.1,68.2
Tilia cordata,7,2.1,6,28.3,67.5,68.2
Tilia cordata,7,2.1,6,28.3,76.2,68.2
Tilia cordata,7,2.1,5,19.6,39.5,33.2
Acer campestre,8,2.4,9,63.6,168.8,56.6
Tilia cordata,6,1.8,4,12.6,23.8,39
Tilia cordata,6,1.8,4,12.6,17.9,15
Tilia cordata,8,2.4,6,28.3,78.40000000000001,60
Tilia cordata,8,2.4,4,12.6,25.1,39
Tilia cordata,8,2.4,4,12.6,28.6,39
Tilia cordata,8,2.4,4,12.6,30.3,39
Tilia cordata,8,2.4,4,12.6,30.5,60
Tilia cordata,8,2.4,4,12.6,32.3,60
Tilia cordata,5,1.5,3,7.1,12.4,11.7
Tilia cordata,7,2.1,4,12.6,29.8,52.4
Tilia cordata,5,1.5,3,7.1,10.9,27.9
Morus alba,6,1.8,8,50.3,98.3,93.3
Morus alba,6,1.8,8,50.3,113,93.3
Morus alba,6,1.8,7,38.5,77.3,46.6
Morus alba,7,2.1,10,78.5,177.1,113.2
Morus alba,6,1.8,6,28.3,56.8,53.1
Morus alba,6,1.8,6,28.3,47,53.1
Morus alba,6,1.8,6,28.3,56.8,53.1
Morus alba,6,1.8,6,28.3,56.8,53.1
Morus alba,6,1.8,6,28.3,43.7,53.1
Morus alba,6,1.8,6,28.3,56.8,53.1
Morus alba,6,1.8,6,28.3,55.4,67.59999999999999
Morus alba,7,2.1,7,38.5,94.5,93.3
Morus alba,6,1.8,6,28.3,55.4,67.59999999999999
Morus alba,6,1.8,6,28.3,45.3,67.59999999999999
Morus alba,7,2.1,7,38.5,81.5,124
Morus alba,6,1.8,6,28.3,53.4,35
Morus alba,8,2.4,8,50.3,116.1,187
Tilia cordata,7,2.1,4,12.6,22.4,27.9
Pyrus calleryana,5,1.5,2,3.1,5.1,18.8
Pyrus calleryana,6,1.8,3,7.1,11.1,29.3
Pyrus calleryana,6,1.8,3,7.1,12.6,29.3
Pyrus calleryana,6,1.8,3,7.1,10.3,29.3
Acer pseudoplatanus,5,1.5,2.5,4.9,8.300000000000001,20.9
Carpinus betulus,12,3.6,3,7.1,24.3,115.2
