Name,Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Carbon Storage (kg)
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.1,494.4
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,11.5,494.2
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,13.9,494.5
Cupressus,8.6,2.6,2.3,4.3,12.3,494.3
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Cupressus,8.6,2.6,2.3,4.3,10.7,494.1
Platanus x acerifolia 'Bloodgood',6,1.8,4,12.6,25.2,95.09999999999999
Platanus x acerifolia 'Bloodgood',6,1.8,4,12.6,22.8,72.59999999999999
Platanus x acerifolia 'Bloodgood',6,1.8,4,12.6,24.7,83.40000000000001
Platanus x acerifolia 'Bloodgood',6,1.8,4,12.6,23.7,95.09999999999999
Platanus x acerifolia 'Bloodgood',6,1.8,4,12.6,25.6,107.8
Platanus x acerifolia 'Bloodgood',6,1.8,5,19.6,32.5,121.4
Platanus x acerifolia 'Bloodgood',4,1.2,4,12.6,21.9,83.40000000000001
Platanus x acerifolia 'Bloodgood',6,1.8,3,7.1,14.6,83.40000000000001
Platanus x acerifolia 'Bloodgood',6,1.8,4,12.6,23.7,95.09999999999999
Platanus x acerifolia 'Bloodgood',5,1.5,4,12.6,23.3,83.40000000000001
Platanus x acerifolia 'Bloodgood',5,1.5,3,7.1,11.8,45.3
Platanus x acerifolia 'Bloodgood',4,1.2,7,38.5,92.3,245.9
Fraxinus excelsior,4,1.2,2,3.1,6.5,16.5
Acer platanoides,8,2.4,12,113.1,494.8,2326.8
Aesculus hippocastanum,12,3.6,15,176.7,701.8,4433.7
Platanus x hispanica,26,7.8,20,314.2,1090.9,7500
Platanus x hispanica,18,5.4,20,314.2,1359.6,7500
Platanus x hispanica,15,4.5,16,201.1,802.4,7500
Platanus x hispanica,25,7.5,24,452.4,1957.9,7500
Platanus x hispanica,18,5.4,17,227,1023.5,7500
Platanus x hispanica,25,7.5,22,380.1,1418.5,7500
Platanus x hispanica,23,6.9,18,254.5,1013,7500
Platanus x hispanica,19,5.7,18,254.5,1101.3,7500
Platanus x hispanica,18,5.4,18,254.5,986.9,7500
Platanus x hispanica,14,4.2,15,176.7,459.3,1029.6
Platanus x hispanica,14,4.2,23,415.5,1873.4,7500
Platanus x hispanica,16,4.8,22,380.1,1615.6,7500
Platanus x hispanica,22,6.6,21,346.4,1561.8,7500
Platanus x hispanica,18,5.4,20,314.2,1250.7,7500
Platanus x acerifolia 'Bloodgood',8,2.4,3,7.1,16.7,83.40000000000001
Morus nigra,4,1.2,4,12.6,17.2,16.5
Morus nigra,4,1.2,2,3.1,4.7,8.199999999999999
Morus nigra,4,1.2,2,3.1,4.9,10.6
Morus nigra,4,1.2,3,7.1,9.4,16.5
Morus nigra,2,0.6,2,3.1,4.4,28.3
Morus nigra,4,1.2,5,19.6,25,44
Carpinus betulus,13,3.9,4,12.6,39.1,115.2
Carpinus betulus,13,3.9,6,28.3,103.7,61.7
Acer saccharinum,15,4.5,6,28.3,100.9,314.2
Acer saccharinum,13,3.9,3,7.1,26.1,181.8
Acer saccharinum,12,3.6,6,28.3,83.8,116.4
Acer negundo,7,2.1,4,12.6,24.4,51.1
Prunus cerasifera,5,1.5,9,63.6,149.3,145
Prunus cerasifera,7,2.1,6,28.3,52.4,298.7
Carpinus betulus,14,4.2,8,50.3,202.1,206.8
Ostrya carpinifolia,14,4.2,6,28.3,101.3,357.9
Ostrya carpinifolia,12,3.6,4,12.6,35.9,70.8
Ostrya carpinifolia,12,3.6,3,7.1,17,70.8
Ostrya carpinifolia,12,3.6,4,12.6,36.6,121.7
Ostrya carpinifolia,12,3.6,6,28.3,80.90000000000001,94.3
Ostrya carpinifolia,12,3.6,6,28.3,92.2,153.4
Ostrya carpinifolia,10,3,2,3.1,8.800000000000001,13.2
Ostrya carpinifolia,8,2.4,3,7.1,17.6,94.3
Ostrya carpinifolia,10,3,4,12.6,27.5,94.3
Ostrya carpinifolia,10,3,4,12.6,31.8,70.8
Ostrya carpinifolia,10,3,4,12.6,35,137
Ostrya carpinifolia,10,3,3,7.1,19.3,70.8
Ostrya carpinifolia,8,2.4,3,7.1,15.9,70.8
Ostrya carpinifolia,10,3,6,28.3,79.2,153.4
Ostrya carpinifolia,10,3,4,12.6,23,17.5
Ostrya carpinifolia,12,3.6,5,19.6,58.7,153.4
Ostrya carpinifolia,10,3,4,12.6,33,137
Ostrya carpinifolia,12,3.6,5,19.6,48.8,28.5
Ostrya carpinifolia,9,2.7,4,12.6,24,35.2
Ostrya carpinifolia,12,3.6,4,12.6,37.4,94.3
Ostrya carpinifolia,12,3.6,4,12.6,28.8,94.3
Ostrya carpinifolia,12,3.6,4,12.6,35,137
Ostrya carpinifolia,12,3.6,4,12.6,39.5,137
Ostrya carpinifolia,11,3.3,6,28.3,66.5,82
Ostrya carpinifolia,11,3.3,3,7.1,20.2,60.5
Ostrya carpinifolia,11,3.3,6,28.3,61.6,13.2
Ostrya carpinifolia,9,2.7,3,7.1,11.4,17.5
Ostrya carpinifolia,12,3.6,6,28.3,90.7,137
Ostrya carpinifolia,9,2.7,4,12.6,24.1,94.3
Betula pendula,13,3.9,6,28.3,85.90000000000001,375
Quercus petraea,10,3,12,113.1,259.3,212
Betula pendula,12,3.6,8,50.3,123.1,188
Betula pendula,8,2.4,4,12.6,21.9,27.9
Betula pendula,7,2.1,5,19.6,40.9,124.5
Aesculus hippocastanum,12,3.6,8,50.3,265.9,887
Aesculus hippocastanum,6,1.8,6,28.3,76.5,91.40000000000001
Aesculus hippocastanum,12,3.6,12,113.1,639.7,2475.4
Aesculus hippocastanum,13,3.9,9,63.6,369.9,3000.2
Aesculus hippocastanum,13,3.9,6,28.3,139.8,655.4
Aesculus hippocastanum,13,3.9,8,50.3,205.4,729.7
Aesculus hippocastanum,5,1.5,4,12.6,21.3,26.8
Aesculus hippocastanum,12,3.6,10,78.5,412.4,1169.5
Aesculus hippocastanum,13,3.9,12,113.1,630.5,2178.3
Aesculus hippocastanum,13,3.9,7,38.5,202.2,809
Aesculus hippocastanum,5,1.5,3,7.1,13.5,45.3
Aesculus hippocastanum,5,1.5,4,12.6,19.3,13.7
Aesculus hippocastanum,10,3,10,78.5,410.7,962.3
Aesculus hippocastanum,13,3.9,4,12.6,55.2,305.3
Aesculus hippocastanum,12,3.6,9,63.6,302,1384.6
Aesculus hippocastanum,5,1.5,3,7.1,12.5,26.8
Platanus x hispanica,22,6.6,15,176.7,566.2,1893.8
Platanus x hispanica,22,6.6,16,201.1,853.5,7500
Platanus x hispanica,23,6.9,21,346.4,1149.8,5640.1
Platanus x hispanica,22,6.6,13,132.7,453.5,1029.6
Platanus x hispanica,21,6.3,8,50.3,290.2,1303
Platanus x hispanica,22,6.6,15,176.7,567.3,7083.7
Platanus x hispanica,21,6.3,13,132.7,449.5,2361.4
Platanus x hispanica,23,6.9,14,153.9,487.6,6340.8
Platanus x hispanica,25,7.5,14,153.9,421.8,4369.9
Platanus x hispanica,23,6.9,17,227,678.1,7083.7
Platanus x hispanica,23,6.9,10,78.5,519.5,3801.5
Platanus x hispanica,21,6.3,9,63.6,385.7,2530.8
Platanus x hispanica,25,7.5,19,283.5,941.2,5640.1
Platanus x hispanica,23,6.9,13,132.7,516.2,6340.8
Platanus x hispanica,22,6.6,11,95,438.3,4369.9
Platanus x hispanica,22,6.6,13,132.7,436.7,522.4
Platanus x hispanica,24,7.2,18,254.5,1061.1,7500
Celtis australis,14,4.2,12,113.1,391.8,177.6
Celtis australis,18,5.4,9,63.6,261,177.6
Platanus x hispanica,25,7.5,18,254.5,971,6340.8
Platanus x hispanica,21,6.3,15,176.7,553.4,1615.2
Platanus x hispanica,19,5.7,13,132.7,572.1,3277.6
Platanus x hispanica,24,7.2,21,346.4,1343.5,7083.7
Platanus x hispanica,21,6.3,18,254.5,803.6,6340.8
Platanus x hispanica,20,6,10,78.5,407.5,1029.6
Platanus x hispanica,23,6.9,11,95,552.3,3277.6
Platanus x hispanica,21,6.3,12,113.1,534.8,3277.6
Platanus x hispanica,19,5.7,17,227,696.4,3277.6
Platanus x hispanica,28,8.4,25,490.9,1616.6,7500
Celtis australis,16,4.8,14,153.9,441.1,188.2
Celtis australis,16,4.8,12,113.1,388.1,162.1
Celtis australis,15,4.5,11,95,439.1,188.2
Platanus x hispanica,4,1.2,2,3.1,4,6
Acer campestre,4,1.2,2,3.1,6.1,30.5
Acer campestre,4,1.2,2,3.1,5.1,30.5
Acer platanoides,9,2.7,6,28.3,109.4,647.1
Acer campestre,4,1.2,2,3.1,5.4,30.5
Liriodendron tulipifera,4,1.2,2,3.1,6.1,22.4
Liriodendron tulipifera,4,1.2,1,0.8,2.1,4.1
Liriodendron tulipifera,4,1.2,1,0.8,2.6,8.4
Acer platanoides,9,2.7,6,28.3,100.1,369.7
Acer campestre,4,1.2,2,3.1,5.4,20.4
Acer campestre,6,1.8,3,7.1,10.5,53.4
Liriodendron tulipifera,5,1.5,3,7.1,14.4,59.3
Liriodendron tulipifera,2,0.6,1,0.8,1.2,8.4
Liriodendron tulipifera,5,1.5,2,3.1,7.1,38.2
Acer campestre,4,1.2,1,0.8,2.8,12.5
Liriodendron tulipifera,5,1.5,3,7.1,13.5,38.2
Acer campestre,4,1.2,3,7.1,9.1,30.5
Acer campestre,4,1.2,3,7.1,10.4,30.5
Acer campestre,5,1.5,3,7.1,11.8,31.7
Acer campestre,5,1.5,3,7.1,11.3,51.7
Acer campestre,7,2.1,4,12.6,27.2,103.1
Acer platanoides,9,2.7,5,19.6,64.2,303.2
Acer campestre,5,1.5,3,7.1,11.1,31.7
Acer campestre,5,1.5,3,7.1,9.1,31.7
Acer campestre,4,1.2,2,3.1,5.3,12.5
Acer campestre,4,1.2,2,3.1,5.4,20.4
Acer campestre,6,1.8,3,7.1,13.7,53.4
Acer campestre,4,1.2,1,0.8,2.9,30.5
Acer platanoides,7,2.1,4,12.6,22.6,81.8
Acer campestre,2,0.6,1,0.8,1.3,5.9
Acer campestre,7,2.1,3,7.1,15.6,81.8
Acer campestre,7,2.1,2,3.1,7.8,81.8
Acer campestre,4,1.2,2,3.1,7.1,75
Acer campestre,3,0.9,1,0.8,1.8,11.9
Acer campestre,5,1.5,2,3.1,6.2,21.3
Acer campestre,4,1.2,2,3.1,5.3,12.5
Acer campestre,4,1.2,2,3.1,4.4,12.5
Acer campestre,4,1.2,2,3.1,5.3,12.5
Acer campestre,4,1.2,2,3.1,5.3,12.5
Acer campestre,7,2.1,5,19.6,39.7,81.8
Acer campestre,4,1.2,2,3.1,5.4,30.5
Acer campestre,4,1.2,2,3.1,5.8,20.4
Acer platanoides,7,2.1,3,7.1,14.4,81.8
Acer campestre,4,1.2,1,0.8,2.5,12.5
Acer platanoides,9,2.7,6,28.3,77.09999999999999,369.7
Acer campestre,4,1.2,2,3.1,5.1,20.4
Acer campestre,4,1.2,2,3.1,5.1,20.4
Acer campestre,4,1.2,2,3.1,5.3,12.5
Acer campestre,5,1.5,2,3.1,6.6,31.7
Acer campestre,4,1.2,1,0.8,2,6.7
Acer campestre,4,1.2,1,0.8,3.1,20.4
Acer campestre,4,1.2,1,0.8,2.3,6.7
Acer campestre,4,1.2,2,3.1,6.1,30.5
Acer campestre,5,1.5,2,3.1,6.8,77.3
Acer campestre,4,1.2,1,0.8,2.9,20.4
Acer campestre,6,1.8,2,3.1,7.7,79.59999999999999
Acer platanoides,9,2.7,5,19.6,64.3,443.8
Acer campestre,6,1.8,3,7.1,10.5,32.8
Acer campestre,4,1.2,2,3.1,4.4,20.4
Acer campestre,4,1.2,2,3.1,5.1,30.5
Acer campestre,4,1.2,2,3.1,5.1,30.5
Acer campestre,3,0.9,2,3.1,4.5,11.9
Acer campestre,3,0.9,3,7.1,12.4,29.3
Acer campestre,6,1.8,2,3.1,7.3,53.4
Acer campestre,3,0.9,1,0.8,2.1,11.9
Acer campestre,4,1.2,1,0.8,2.8,12.5
Acer campestre,4,1.2,2,3.1,5,12.5
Acer campestre,6,1.8,3,7.1,11.8,22.1
Acer campestre,4,1.2,2,3.1,4.4,12.5
Acer campestre,5,1.5,3,7.1,11.8,31.7
Acer campestre,8,2.4,4,12.6,32.2,297.5
Acer campestre,5,1.5,2,3.1,5.5,21.3
Acer campestre,4,1.2,1,0.8,2.8,12.5
Acer campestre,6,1.8,3,7.1,12.1,53.4
Acer campestre,4,1.2,1,0.8,2.7,12.5
Acer campestre,4,1.2,1,0.8,2.8,12.5
Acer campestre,5,1.5,3,7.1,8.5,21.3
Acer campestre,3,0.9,1,0.8,1.6,6.3
Acer platanoides,6,1.8,3,7.1,12.7,53.4
Acer campestre,7,2.1,4,12.6,27.2,103.1
Acer campestre,8,2.4,4,12.6,27.2,105.7
Acer campestre,4,1.2,2,3.1,5.3,12.5
Acer campestre,4,1.2,2,3.1,4.1,12.5
Acer campestre,4,1.2,2,3.1,4.1,12.5
Acer campestre,3,0.9,1,0.8,2,6.3
Acer campestre,4,1.2,2,3.1,4.4,20.4
Acer campestre,4,1.2,3,7.1,11,30.5
Acer campestre,5,1.5,3,7.1,12.8,51.7
Acer campestre,5,1.5,3,7.1,12.8,51.7
Acer campestre,5,1.5,3,7.1,8.5,21.3
Acer campestre,5,1.5,3,7.1,12.8,51.7
Acer campestre,4,1.2,3,7.1,9,12.5
Acer campestre,4,1.2,3,7.1,9.6,12.5
Acer negundo,9,2.7,6,28.3,73.2,522.6
Acer negundo,12,3.6,5,19.6,49.6,151
Acer negundo,8,2.4,5,19.6,40.1,139.2
Acer campestre,6,1.8,6,28.3,61.6,79.59999999999999
Acer negundo,6,1.8,5,19.6,38.8,64.3
Acer campestre,4,1.2,3,7.1,11,30.5
Acer negundo,6,1.8,4,12.6,24,64.3
Acer campestre,4,1.2,2,3.1,5.8,20.4
Acer campestre,4,1.2,2,3.1,5.8,20.4
Acer campestre,4,1.2,2,3.1,4.8,20.4
Acer negundo,5,1.5,3,7.1,12.4,41.8
Acer campestre,4,1.2,2,3.1,4.4,20.4
Acer campestre,4,1.2,2,3.1,5.8,20.4
Acer campestre,4,1.2,2,3.1,5.8,20.4
Acer campestre,4,1.2,2,3.1,4.8,20.4
Acer campestre,4,1.2,2,3.1,4.8,20.4
Acer campestre,6,1.8,3,7.1,14.3,100.4
Acer campestre,5,1.5,3,7.1,9.800000000000001,31.7
Acer campestre,6,1.8,3,7.1,12.9,79.59999999999999
Acer campestre,5,1.5,3,7.1,12.8,51.7
Acer negundo,8,2.4,6,28.3,52.5,85.40000000000001
Acer negundo,10,3,6,28.3,91.09999999999999,303.9
Acer campestre,8,2.4,5,19.6,35.5,105.7
Acer campestre,7,2.1,6,28.3,65.7,92.09999999999999
Acer negundo,10,3,8,50.3,187,408.4
Acer campestre,6,1.8,6,28.3,47.8,53.4
Acer campestre,4,1.2,2,3.1,5.3,12.5
Acer campestre,5,1.5,3,7.1,9.199999999999999,21.3
Acer campestre,5,1.5,3,7.1,11.1,21.3
Acer campestre,6,1.8,4,12.6,23.3,79.59999999999999
Acer campestre,6,1.8,4,12.6,23.1,53.4
Acer campestre,6,1.8,4,12.6,20.5,53.4
Acer campestre,6,1.8,4,12.6,19,79.59999999999999
Acer campestre,6,1.8,4,12.6,21.8,53.4
Acer campestre,5,1.5,3,7.1,8.5,21.3
Acer campestre,5,1.5,6,28.3,51.9,51.7
Acer campestre,5,1.5,6,28.3,48.8,51.7
Acer campestre,5,1.5,6,28.3,55.4,77.3
Acer campestre,5,1.5,6,28.3,55.4,77.3
Tilia x europaea,15,4.5,8,50.3,283.1,1589.5
Tilia x europaea,16,4.8,8,50.3,292.5,1589.5
Tilia x europaea,14,4.2,8,50.3,242.6,1589.5
Tilia x europaea,15,4.5,8,50.3,283.1,1589.5
Tilia x europaea,20,6,8,50.3,375,3514.3
Tilia x europaea,15,4.5,8,50.3,218,1589.5
Aesculus hippocastanum,6,1.8,6,28.3,56.7,71.09999999999999
Aesculus hippocastanum,6,1.8,8,50.3,126.3,71.09999999999999
Aesculus hippocastanum,7,2.1,8,50.3,130.4,72.40000000000001
Aesculus hippocastanum,6,1.8,7,38.5,107.6,242.6
Corylus colurna,3,0.9,1,0.8,2.2,14.3
Corylus colurna,5,1.5,2,3.1,6.5,38.4
Corylus colurna,3,0.9,1,0.8,2.2,14.3
Corylus colurna,3,0.9,1,0.8,2.1,14.3
Robinia pseudoacacia,8,2.4,8,50.3,133.5,363.7
Corylus colurna,5,1.5,5,19.6,35.3,89.40000000000001
Corylus colurna,3,0.9,1,0.8,2.2,14.3
Corylus colurna,5,1.5,4,12.6,16.4,55.8
Corylus colurna,5,1.5,4,12.6,20,55.8
Corylus colurna,5,1.5,4,12.6,21.3,55.8
Robinia pseudoacacia,10,3,8,50.3,136.5,180.9
Corylus colurna,5,1.5,3,7.1,11,55.8
Corylus colurna,3,0.9,1,0.8,1.8,14.3
Corylus colurna,6,1.8,3,7.1,14.4,89.40000000000001
Corylus colurna,6,1.8,3,7.1,14.4,89.40000000000001
Corylus colurna,6,1.8,3,7.1,12.8,89.40000000000001
Robinia pseudoacacia,10,3,6,28.3,50.3,116.9
