Name,DBH (cm),Replacement Value (eur),Carbon Storage (kg),Carbon Storage (eur),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr),Avoided Runoff (mcube/yr),Avoided Runoff (eur/yr),Carbon Avoided (kg/yr),Carbon Avoided (eur/yr),Pollution Removal (g/yr),Pollution Removal (eur/yr),Energy Savings (eur/yr),Total Annual Benefits (eur/yr),Oxygen Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Leaf Biomass (kg),Latitude,Longitude,geometry,Count
Celtis australis,11,483.55,10.3,1.65,0.7,0.1,0,0.03,,,12.1,0.06,,0.2,1.7,5,1.5,2.5,4.9,8.300000000000001,0.5,46.11839525469135,11.09940802256538,POINT (11.09940802256538 46.11839525469135),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0,0.04,,,17.5,0.09,,0.26,2.1,5,1.5,3,7.1,12,0.7,46.11842812585512,11.09978408551919,POINT (11.09978408551919 46.11842812585512),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0.1,0.11,,,45.3,0.23,,0.47,2.1,6,1.8,5,19.6,31.2,1.8,46.11850392929382,11.09925399441251,POINT (11.09925399441251 46.11850392929382),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0.1,0.12,,,48.2,0.25,,0.49,2.1,6,1.8,5,19.6,33.2,2,46.1185175246253,11.09915575970072,POINT (11.09915575970072 46.1185175246253),1
Celtis australis,13,548.86,13.7,2.2,0.7,0.12,0,0.09,,,38.4,0.2,,0.41,2,6,1.8,5,19.6,26.5,1.6,46.11848441641779,11.09935588699136,POINT (11.09935588699136 46.11848441641779),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0.1,0.11,,,45.3,0.23,,0.47,2.1,6,1.8,5,19.6,31.2,1.8,46.1180726080781,11.10227065687831,POINT (11.10227065687831 46.1180726080781),1
Celtis australis,12,514.84,12,1.92,0.7,0.11,0,0.06,,,26.5,0.14,,0.31,1.8,6,1.8,4,12.6,18.3,1.1,46.11805886828814,11.10236681376443,POINT (11.10236681376443 46.11805886828814),1
Celtis australis,12,514.84,12,1.92,0.7,0.11,0,0.07000000000000001,,,30,0.15,,0.34,1.8,6,1.8,4,12.6,20.7,1.2,46.11810219746484,11.10206638679691,POINT (11.10206638679691 46.11810219746484),1
Celtis australis,16,667.22,19.6,3.14,0.8,0.14,0,0.07000000000000001,,,31.3,0.16,,0.37,2.3,6,1.8,4,12.6,21.6,1.3,46.1180875674724,11.10216691033148,POINT (11.10216691033148 46.1180875674724),1
Celtis australis,12,514.84,12,1.92,0.7,0.11,0,0.07000000000000001,,,30,0.15,,0.34,1.8,6,1.8,4,12.6,20.7,1.2,46.11831566382863,11.10057499572092,POINT (11.10057499572092 46.11831566382863),1
Celtis australis,12,514.84,12,1.92,0.7,0.11,0,0.06,,,24.8,0.13,,0.3,1.8,6,1.8,4,12.6,17.1,1,46.11833016961528,11.10047136044559,POINT (11.10047136044559 46.11833016961528),1
Celtis australis,12,514.84,12,1.92,0.7,0.11,0,0.06,,,26.5,0.14,,0.31,1.8,6,1.8,4,12.6,18.3,1.1,46.1181298539664,11.10187420883286,POINT (11.10187420883286 46.1181298539664),1
Celtis australis,9,237.91,7.3,1.17,0.6,0.09,0,0.03,,,11.3,0.06,,0.18,1.5,5,1.5,2.5,4.9,7.8,0.5,46.1182863259468,11.10017823002553,POINT (11.10017823002553 46.1182863259468),1
Celtis australis,11,483.55,10.3,1.65,0.7,0.1,0,0.03,,,12.1,0.06,,0.2,1.7,5,1.5,2.5,4.9,8.300000000000001,0.5,46.11832449156191,11.09991358390069,POINT (11.09991358390069 46.11832449156191),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0,0.04,,,15.5,0.08,,0.24,2.1,5,1.5,3,7.1,10.7,0.6,46.11830333188134,11.10006097073374,POINT (11.10006097073374 46.11830333188134),1
Celtis australis,11,483.55,10.3,1.65,0.7,0.1,0,0.03,,,11.4,0.06,,0.19,1.7,5,1.5,2.5,4.9,7.8,0.5,46.11823238722265,11.10115385086338,POINT (11.10115385086338 46.11823238722265),1
Celtis australis,11,483.55,10.3,1.65,0.7,0.1,0,0.04,,,16,0.08,,0.23,1.7,5,1.5,3,7.1,11.1,0.7,46.1181808841834,11.10151712736856,POINT (11.10151712736856 46.1181808841834),1
Celtis australis,11,483.55,10.3,1.65,0.7,0.1,0,0.03,,,12.4,0.06,,0.2,1.7,5,1.5,3,7.1,8.5,0.5,46.11816364262725,11.10163243563367,POINT (11.10163243563367 46.11816364262725),1
Celtis australis,11,483.55,10.3,1.65,0.7,0.1,0,0.04,,,16,0.08,,0.23,1.7,5,1.5,3,7.1,11.1,0.7,46.11814800132401,11.10174392197348,POINT (11.10174392197348 46.11814800132401),1
Celtis australis,9,237.91,7.3,1.17,0.6,0.09,0,0.03,,,11.3,0.06,,0.18,1.5,5,1.5,2.5,4.9,7.8,0.5,46.11821609970207,11.10127113699184,POINT (11.10127113699184 46.11821609970207),1
Celtis australis,11,483.55,10.3,1.65,0.7,0.1,0,0.03,,,14.2,0.07000000000000001,,0.21,1.7,5,1.5,3,7.1,9.800000000000001,0.6,46.1181988322264,11.10138786808669,POINT (11.10138786808669 46.1181988322264),1
Celtis australis,11,483.55,10.3,1.65,0.7,0.1,0,0.03,,,12.4,0.06,,0.2,1.7,5,1.5,3,7.1,8.5,0.5,46.11850258449145,11.09865108212339,POINT (11.09865108212339 46.11850258449145),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0,0.03,,,14.5,0.07000000000000001,,0.23,2.1,5,1.5,3,7.1,10,0.6,46.11868815391814,11.097965963621,POINT (11.097965963621 46.11868815391814),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0.1,0.12,,,48.2,0.25,,0.49,2.1,6,1.8,5,19.6,33.2,2,46.11849235067283,11.09874763266389,POINT (11.09874763266389 46.11849235067283),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0,0.04,,,17.5,0.09,,0.26,2.1,5,1.5,3,7.1,12,0.7,46.11867180612949,11.09807690751631,POINT (11.09807690751631 46.11867180612949),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0.1,0.1,,,42.3,0.22,,0.44,2.1,6,1.8,5,19.6,29.2,1.7,46.11865435694155,11.09819881066965,POINT (11.09819881066965 46.11865435694155),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0.1,0.12,,,51.1,0.26,,0.51,2.1,6,1.8,5,19.6,35.3,2.1,46.11847804091415,11.09884558144361,POINT (11.09884558144361 46.11847804091415),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0,0.03,,,13.5,0.07000000000000001,,0.23,2.1,5,1.5,3,7.1,9.300000000000001,0.5,46.11846410984399,11.09894250915947,POINT (11.09894250915947 46.11846410984399),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0,0.03,,,13.5,0.07000000000000001,,0.23,2.1,5,1.5,3,7.1,9.300000000000001,0.5,46.11844877423125,11.09905219652362,POINT (11.09905219652362 46.11844877423125),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0,0.03,,,13.5,0.07000000000000001,,0.23,2.1,5,1.5,3,7.1,9.300000000000001,0.5,46.11856976080056,11.09879625998371,POINT (11.09879625998371 46.11856976080056),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0.1,0.12,,,51.1,0.26,,0.51,2.1,6,1.8,5,19.6,35.3,2.1,46.11858682268034,11.09867097744003,POINT (11.09867097744003 46.11858682268034),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0.1,0.12,,,51.1,0.26,,0.51,2.1,6,1.8,5,19.6,35.3,2.1,46.11862088838003,11.09843335243495,POINT (11.09843335243495 46.11862088838003),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0.1,0.12,,,51.1,0.26,,0.51,2.1,6,1.8,5,19.6,35.3,2.1,46.11860369708844,11.09855099413008,POINT (11.09855099413008 46.11860369708844),1
